3865 3956
300:0.987536 415:1.09155 442:1.14924 487:0.846991 590:0.826576 631:0.788603 870:0.810847 897:0.822928 995:1.03351 1086:0.850915 1725:0.843796 1754:0.825516 1759:0.78651 1875:0.832107 1940:0.907043 2142:0.808542 2143:0.808777 2235:0.787704 2512:0.783669 2590:0.785028
4:1.35668 24:0.86455 168:1.46184 209:0.823226 343:0.841963 382:0.829783 393:0.821384 469:0.862097 881:0.942356 1172:0.862006 1292:0.837983 1353:0.820152 1516:0.891301 1519:0.937808 1521:0.962821 1535:0.804975 1536:1.09256 1538:1.01627 1613:0.887661 1714:0.875626
53:1.04067 239:1.15425 265:1.07737 266:0.855891 286:0.894421 503:1.09874 547:1.28638 634:0.949904 659:1.48273 662:1.23593 664:1.53585 665:1.40717 705:1.02837 716:0.995351 717:1.02327 718:0.862785 815:0.855249 1183:0.880051 1381:0.910762 1468:1.01181
73:0.864285 276:0.828897 283:1.19972 419:1.40378 699:0.962655 732:1.11874 772:0.856653 935:0.873667 1152:1.06883 1168:0.869237 1500:0.846526 1898:0.945451 1901:1.30786 1907:0.870956 1922:0.883093 2118:0.833266 2264:0.857597 2265:0.931826 2339:0.858519 2929:0.847539
4:0.978677 391:0.85145 400:1.05674 462:1.01055 463:1.337 464:1.37808 474:0.851329 505:0.849293 618:0.861312 863:1.02313 920:0.899448 975:1.01694 1914:0.898781 2069:0.955502 2076:0.892033 2142:0.893789 2180:0.900499 2363:0.858828 2578:0.851202 3505:0.891035
26:0.865995 27:0.864663 64:0.874375 388:0.806214 454:0.815493 477:0.900123 563:0.944382 1054:1.03685 1290:1.12188 1618:0.86709 1718:0.825371 1798:1.0962 2490:0.983507 2614:0.862572 3113:0.824805 3188:1.08677 3197:1.01111 3200:0.870925 3219:0.839498 3221:0.918974
283:0.941249 419:0.962575 562:1.04981 678:0.874588 699:1.34699 732:0.865953 935:0.943249 1342:0.84709 1840:0.92359 1878:0.866666 1898:0.945699 1899:0.883627 1901:0.877535 1909:0.863206 1922:0.96586 1966:0.854325 2118:0.90658 2218:0.858599 2300:0.933162 2697:0.8441
4:1.26058 11:0.898953 14:0.877015 29:0.796902 134:0.850855 199:0.806395 204:1.00375 244:0.83873 250:0.819582 260:0.826629 349:0.786897 354:0.910842 355:0.827457 382:1.20514 383:1.12257 384:1.32222 422:0.831521 734:0.793616 1143:0.790999 3421:0.78453
109:1.37677 110:1.00818 197:1.21019 199:1.12084 590:1.34747 619:0.867045 657:1.22015 726:0.877518 750:0.968801 753:0.860709 789:1.22928 792:0.887087 811:1.34762 813:0.874742 828:0.961864 921:0.853531 922:0.902412 1167:0.882998 1331:0.940623 1372:0.856331
125:0.957737 239:1.36036 257:1.00357 310:1.26003 388:1.51092 659:0.854876 698:1.37694 816:0.897503 952:1.43597 973:0.906096 1322:0.827786 1365:0.80835 1431:0.854548 1433:0.824198 1803:0.890783 1861:0.922716 2239:0.801382 2328:0.880583 2896:0.929942 2949:0.843738
125:0.853807 128:0.831201 1000:0.866582 1138:0.827308 1209:0.899096 1463:0.83057 1705:0.830813 1781:0.818998 1918:0.903705 1920:1.21818 1967:0.964442 1968:1.02927 1969:0.95727 1971:0.853288 1972:0.972097 2012:0.92561 2099:0.927427 2161:0.862292 2293:0.889362 2442:0.836022
