3865 3956
300:0.990035 415:1.09399 442:1.15079 487:0.846991 590:0.826339 631:0.787165 870:0.812382 897:0.820964 995:1.03408 1086:0.847616 1725:0.843251 1754:0.826147 1759:0.784352 1875:0.830335 1940:0.90453 2142:0.809802 2143:0.807654 2235:0.785926 2512:0.783733 2590:0.785097
4:1.35712 24:0.862073 168:1.46411 209:0.82104 343:0.840342 382:0.827735 393:0.822055 469:0.862852 881:0.942455 1172:0.863159 1292:0.837246 1353:0.819201 1516:0.891753 1519:0.938367 1521:0.964388 1535:0.804386 1536:1.09393 1538:1.01687 1613:0.886689 1714:0.875702
53:1.04416 239:1.16002 265:1.07898 266:0.857822 286:0.900884 503:1.10822 547:1.29995 634:0.951484 659:1.49081 662:1.24806 664:1.54145 665:1.40904 705:1.03468 716:0.997406 717:1.02132 718:0.86496 815:0.853168 1183:0.881388 1381:0.916731 1468:1.01153
73:0.861198 276:0.827964 283:1.20462 419:1.40838 699:0.959127 732:1.12177 772:0.853956 935:0.87595 1152:1.0725 1168:0.865742 1500:0.84532 1898:0.945936 1901:1.31273 1907:0.868908 1922:0.880703 2118:0.831416 2264:0.855989 2265:0.930633 2339:0.858525 2929:0.84537
4:0.979116 391:0.847107 400:1.05806 462:1.01487 463:1.3421 464:1.38232 474:0.851979 505:0.847153 618:0.861556 863:1.02523 920:0.899003 975:1.01753 1914:0.898706 2069:0.954778 2076:0.89065 2142:0.895419 2180:0.900655 2363:0.858743 2578:0.851036 3505:0.890271
26:0.867466 27:0.864154 64:0.871109 454:0.813595 477:0.898283 563:0.958683 1054:1.04034 1087:0.799056 1290:1.12088 1618:0.864996 1718:0.823727 1798:1.09766 2490:0.985332 2614:0.860025 3113:0.822747 3188:1.08562 3197:1.01038 3200:0.870512 3219:0.84029 3221:0.917611
283:0.942519 419:0.96554 562:1.04998 678:0.875182 699:1.35135 732:0.866529 935:0.94496 1342:0.846337 1840:0.923575 1878:0.867916 1898:0.948318 1899:0.884181 1901:0.880857 1909:0.864567 1922:0.968246 1966:0.853141 2118:0.906555 2218:0.860344 2300:0.932986 2697:0.84431
4:1.26252 11:0.895204 14:0.878529 29:0.795511 134:0.848471 199:0.807204 204:1.00646 244:0.838039 250:0.820914 260:0.822127 349:0.784988 354:0.907802 355:0.826479 382:1.20909 383:1.12522 384:1.32388 422:0.829479 734:0.792049 1143:0.790826 3421:0.783963
109:1.38637 110:1.00696 197:1.21374 199:1.12723 590:1.35378 619:0.863375 657:1.22737 726:0.875431 750:0.973831 753:0.862049 789:1.22906 792:0.883468 811:1.35162 813:0.87439 828:0.956625 921:0.853152 922:0.903255 1167:0.88256 1331:0.939418 1372:0.855468
125:0.960364 239:1.36544 257:1.00429 310:1.27119 388:1.51489 659:0.856599 698:1.37985 816:0.898519 952:1.4388 973:0.899255 1322:0.825171 1365:0.807775 1431:0.852253 1433:0.824091 1803:0.889475 1861:0.921459 2239:0.799033 2328:0.880808 2896:0.931507 2949:0.843045
125:0.855765 128:0.829317 471:0.819709 1000:0.866296 1138:0.827474 1209:0.899551 1463:0.835806 1705:0.832018 1918:0.905066 1920:1.22348 1967:0.965798 1968:1.03015 1969:0.960203 1971:0.853666 1972:0.972972 2012:0.926423 2099:0.92987 2161:0.863199 2293:0.890109 2442:0.834479
166:0.824129 167:0.864702 181:0.814162 610:0.846754 710:0.809546 780:0.807562 921:1.02614 1117:0.813783 1449:0.864457 1462:0.958911 1842:1.12806 1906:0.893544 1919:0.809489 1921:0.84795 1955:0.918038 1981:0.880877 2141:0.88237 2862:0.800713 3169:0.826446 3377:0.846118
4:1.24521 14:0.859294 18:0.816896 33:0.820024 41:0.840384 45:0.87639 70:0.78623 71:1.2366 72:1.16091 99:0.809767 170:0.936554 233:0.800675 254:0.976055 377:0.79978 395:0.806359 397:0.80092 599:1.3735 999:0.784837 1516:0.798109 3463:0.79414
4:0.95463 41:0.906796 53:0.865233 265:1.16364 266:0.999668 286:0.838319 400:0.925391 503:0.933814 547:0.909199 659:1.29239 662:0.870356 664:1.36069 665:1.1386 705:0.935304 716:1.12424 717:0.920999 1169:0.917962 1246:0.979638 1336:0.889128 1468:0.884961
124:0.915405 169:1.29745 348:1.46962 481:0.887976 1124:0.887234 1153:0.808534 1285:0.819615 1353:0.832149 1472:0.838268 1475:0.837545 1609:0.888723 1882:1.03507 1935:1.24011 2124:1.02251 2370:0.819463 2932:0.817662 2934:1.32224 3135:1.38033 3224:0.822696 3798:0.867834
23:0.868274 46:0.826214 82:0.84592 85:0.873416 103:0.92448 203:0.921834 209:0.83738 217:0.956227 254:1.03079 257:0.824067 264:1.07648 283:0.839132 310:0.819305 397:1.25086 432:0.822312 562:1.37438 678:0.856341 699:1.00539 1785:0.806055 2300:0.862292
35:0.821598 218:0.991893 322:0.796511 341:0.792378 1159:0.894747 1300:0.803526 1317:0.986911 1319:1.26409 1441:0.822818 1524:0.838791 1737:1.25986 1937:0.941312 1986:0.799949 2016:1.41572 2944:0.829348 3075:1.00168 3236:1.1169 3633:0.934803 3656:0.89968 3803:1.27788
403:0.991412 495:0.908024 562:0.887896 663:0.929708 703:0.938396 710:1.25845 1109:1.03715 1434:1.45887 1435:1.11851 1465:0.909248 1466:0.932126 1557:0.866165 1646:0.960361 1694:0.876235 1754:1.05135 2262:0.934295 2300:0.877559 2317:0.907396 2577:0.850527 2698:0.912014
81:1.17539 328:0.839766 369:0.844618 391:0.890722 413:0.827869 539:0.831343 547:1.08192 568:0.842816 634:0.903175 694:0.887431 825:0.827327 919:0.840025 992:0.984252 1014:0.957053 1280:0.892357 1281:0.937507 1421:0.900209 1593:0.888356 1624:0.8858 1675:0.833591
361:1.06521 454:1.03755 516:1.0023 520:0.851561 529:0.830144 564:1.07051 590:1.24182 619:0.875704 638:0.880229 737:1.02175 753:0.877719 797:0.847418 1225:0.850597 1265:1.14721 1305:0.948576 1583:0.845617 1584:0.898866 1667:0.910588 2005:0.935818 2368:0.890249
110:0.838273 384:0.840859 465:0.806138 529:1.31466 618:0.84587 726:1.01461 739:1.03743 750:0.805822 788:0.815154 828:0.893662 889:0.996956 890:1.11107 922:0.934668 978:0.903925 1198:0.819959 1272:1.03895 1293:0.816451 1331:0.88554 1830:0.820072 2664:0.87829
309:0.868276 519:0.860978 653:0.87037 881:1.38664 1125:0.863597 1172:0.999238 1515:0.844679 1516:1.03293 1520:0.875571 1521:1.09629 1536:1.2665 1538:1.11803 1595:0.866809 1613:0.897521 2153:0.915736 2729:0.840346 2906:0.879076 3165:0.96711 3392:0.892442 3730:0.950954
140:0.990271 276:0.797223 312:0.803399 366:0.798895 388:0.832613 419:0.791148 710:1.01766 732:0.805839 771:0.818031 935:1.12886 1434:0.926583 1466:1.14276 1646:0.797116 1809:1.08162 2125:0.786047 2262:0.930984 2516:0.801341 2529:0.825981 2698:1.19004 3711:0.800662
